Date,Result,Role,Map,SR
8/29/2020,LOSS,DPS,Dorado,0
8/29/2020,LOSS,DPS,Blizzard World,0
8/29/2020,LOSS,DPS,Hanamura,0
8/29/2020,WIN,DPS,Watchpoint: Gibraltar,0
8/29/2020,LOSS,HEALER,Nepal,0
8/29/2020,WIN,TANK,Havana,0
8/29/2020,LOSS,TANK,Nepal,-21
8/29/2020,LOSS,DPS,Temple of Anubis,-20
8/29/2020,LOSS,DPS,Oasis,-20
8/29/2020,WIN,DPS,Route 66,25
8/29/2020,WIN,DPS,Busan,26
8/29/2020,WIN,DPS,Volskaya Industries,24
8/29/2020,LOSS,DPS,Ilios,-27
8/29/2020,WIN,DPS,Watchpoint: Gibraltar,24
8/29/2020,WIN,DPS,Temple of Anubis,20
8/29/2020,LOSS,DPS,Numbani,-28
8/29/2020,LOSS,DPS,Lijiang Tower,-21
8/29/2020,LOSS,DPS,Oasis,-21
8/29/2020,WIN,DPS,Route 66,24
8/29/2020,WIN,DPS,Hanamura,18
8/29/2020,WIN,DPS,Blizzard World,22
8/29/2020,LOSS,DPS,Volskaya Industries,-26
8/29/2020,LOSS,DPS,Havana,-21
8/30/2020,LOSS,TANK,King's Row,-23
8/30/2020,LOSS,DPS,Temple of Anubis,-25
8/30/2020,WIN,DPS,Junkertown,25
8/30/2020,LOSS,DPS,Volskaya Industries,-23
8/30/2020,DRAW,DPS,Eichenwalde,0
8/30/2020,WIN,DPS,Busan,22
8/30/2020,LOSS,DPS,Route 66,-22
8/30/2020,WIN,DPS,King's Row,25
8/30/2020,WIN,DPS,Numbani,21
8/30/2020,WIN,DPS,Rialto,24
8/30/2020,WIN,DPS,Lijiang Tower,19
8/30/2020,WIN,DPS,Nepal,22
8/30/2020,WIN,DPS,Hanamura,17
8/30/2020,WIN,DPS,Blizzard World,16
8/30/2020,LOSS,DPS,Rialto,-21
8/31/2020,WIN,DPS,Watchpoint: Gibraltar,23
8/31/2020,LOSS,DPS,Eichenwalde,-22
8/31/2020,WIN,DPS,Hollywood,22
8/31/2020,WIN,DPS,Ilios,18
8/31/2020,WIN,DPS,Hanamura,24
8/31/2020,LOSS,DPS,Dorado,-22
8/31/2020,WIN,TANK,Busan,25
8/31/2020,WIN,TANK,Numbani,25
8/31/2020,WIN,TANK,Temple of Anubis,26
8/31/2020,WIN,TANK,Nepal,20
8/31/2020,WIN,TANK,Blizzard World,20
8/31/2020,WIN,TANK,Ilios,21
8/31/2020,WIN,TANK,Hollywood,22
9/1/2020,WIN,TANK,Route 66,24
9/1/2020,WIN,TANK,Watchpoint: Gibraltar,23
9/1/2020,LOSS,TANK,Oasis,-18
9/1/2020,WIN,TANK,Havana,22
9/1/2020,LOSS,TANK,Temple of Anubis,-20
